Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
730	5	5	5	14	27	27	5	14	5	5	10	6	1	3	1	9	1	1	1	1	9	28	26	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	1	26	1	12	1	9	1	1	1	1	1	1	1	1	22	17	5	5	5	27	5	5	2	5	22	22
740	5	5	5	14	22	27	14	14	5	5	2	6	3	3	4	9	1	1	1	1	17	28	16	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	27	5	5	26	17	28	31	28	28	28	28	31	31	1	31	5	14	8	22	5	5	16	22	16	16
750	11	5	3	14	14	27	3	14	5	5	1	6	5	3	1	9	1	1	1	1	1	28	3	26	14	14	5	5	5	5	5	5	15	11	5	5	5	15	5	5	5	5	5	5	5	14	5	5	1	1	12	12	12	12	5	12	5	5	5	12	5	14	3	14	4	11	5	11	5	5
760	5	5	5	14	22	27	14	14	5	5	2	6	3	3	4	9	1	1	1	1	20	28	3	26	14	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	14	5	5	20	20	12	20	20	12	28	28	31	31	8	31	3	14	30	22	5	5	3	30	8	8
770	5	5	5	14	28	27	3	14	5	5	2	6	4	3	9	9	1	1	1	1	1	28	6	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	1	16	1	12	1	1	1	1	1	1	9	9	17	9	1	17	5	14	2	28	2	5	9	2	9	9
780	5	5	25	14	16	27	5	14	5	5	2	6	3	3	1	9	1	1	1	1	9	28	10	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	4	19	4	15	9	9	1	9	1	1	9	1	29	18	2	31	5	5	6	27	4	25	29	17	31	31
790	5	5	3	14	18	27	5	14	5	5	1	6	2	3	4	9	1	1	4	1	4	28	17	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	25	26	11	25	4	4	11	11	29	18	23	29	28	28	5	28	5	5	31	29	4	14	20	31	20	20
800	5	5	12	14	5	27	5	14	5	5	1	6	3	3	1	9	1	1	1	1	1	28	26	26	5	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	29	31	29	29	1	1	29	29	18	29	18	18	18	18	25	18	14	5	3	14	25	12	2	25	30	30
810	18	5	5	14	5	27	5	14	29	5	7	6	2	3	3	9	5	1	14	1	5	28	31	26	5	14	22	5	5	5	5	5	14	11	5	5	3	14	3	5	3	3	14	22	3	31	7	14	5	14	14	21	11	14	2	11	2	2	21	16	5	29	5	5	5	29	5	5	21	21
820	3	5	3	14	1	27	5	14	14	5	4	6	1	3	1	9	2	1	2	1	2	28	13	26	5	14	16	5	17	5	2	5	15	11	4	5	1	15	12	17	1	12	18	16	1	13	5	18	10	2	2	24	12	2	1	12	10	1	3	10	1	14	5	1	15	3	8	15	8	8
