Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1830	-56.76309	-53.97614	-2.786954	2.336252	2.336252	2.336252	2.336252	2.336252	2.336252	0.06027921
1840	-55.40855	-56.56136	1.152808	0.9572684	0.9572684	0.9572684	0.9572684	0.9572684	0.9572684	0.01879907
1850	-55.02588	-54.80666	-0.2192196	1.46137	1.46137	1.46137	1.46137	1.46137	1.46137	0.02958391
1860	-55.63771	-54.01301	-1.624706	1.973946	1.973946	1.973946	1.973946	1.973946	1.973946	0.04063711
1870	-55.01239	-54.792	-0.2203847	1.457003	1.457003	1.457003	1.457003	1.457003	1.457003	0.02988652
1880	-55.05465	-55.38518	0.3305241	1.043835	1.043835	1.043835	1.043835	1.043835	1.043835	0.03757596
1890	-55.49711	-55.7016	0.2044936	1.03429	1.03429	1.03429	1.03429	1.03429	1.03429	0.04327529
1900	-57.46428	-54.14552	-3.318755	2.496097	2.496097	2.496097	2.496097	2.496097	2.496097	0.073562
1910	-55.37611	-56.06009	0.6839806	0.777991	0.777991	0.777991	0.777991	0.777991	0.777991	0.03628699
1920	-54.92639	-55.41274	0.4863448	0.9951108	0.9951108	0.9951108	0.9951108	0.9951108	0.9951108	0.03467021
1930	-55.63746	-55.8042	0.1667336	1.035349	1.035349	1.035349	1.035349	1.035349	1.035349	0.04486538
1940	-57.34505	-53.81374	-3.531314	2.946882	2.946882	2.946882	2.946882	2.946882	2.946882	0.03656473
1950	-54.78526	-55.09606	0.3107972	1.173303	1.173303	1.173303	1.173303	1.173303	1.173303	0.03067056
1960	-54.83176	-54.95403	0.1222713	1.267568	1.267568	1.267568	1.267568	1.267568	1.267568	0.03101801
1970	-56.42492	-53.77205	-2.652867	2.356792	2.356792	2.356792	2.356792	2.356792	2.356792	0.05049659
1980	-58.14954	-55.8764	-2.273147	1.908827	1.908827	1.908827	1.908827	1.908827	1.908827	0.08933917
1990	-55.17586	-55.66058	0.4847163	0.9386548	0.9386548	0.9386548	0.9386548	0.9386548	0.9386548	0.03760553
2000	-57.62939	-57.48843	-0.1409571	1.018288	1.018288	1.018288	1.018288	1.018288	1.018288	0.06267976
2010	-55.46655	-56.29585	0.8292971	0.535821	0.535821	0.535821	0.535821	0.535821	0.535821	0.02858601
2020	-55.3035	-56.59977	1.296271	0.5913034	0.5913034	0.5913034	0.5913034	0.5913034	0.5913034	0.01938783
2030	-55.57894	-54.27818	-1.300758	1.76597	1.76597	1.76597	1.76597	1.76597	1.76597	0.04586901
2040	-57.67233	-55.80552	-1.866814	1.772134	1.772134	1.772134	1.772134	1.772134	1.772134	0.0797318
2050	-57.3292	-54.23175	-3.097457	2.397951	2.397951	2.397951	2.397951	2.397951	2.397951	0.07228061
2060	-55.22329	-55.19101	-0.03228095	1.443418	1.443418	1.443418	1.443418	1.443418	1.443418	0.02546446
2070	-55.38176	-54.23818	-1.143579	1.742403	1.742403	1.742403	1.742403	1.742403	1.742403	0.04122166
2080	-54.80167	-55.24884	0.4471677	1.063482	1.063482	1.063482	1.063482	1.063482	1.063482	0.03239016
2090	-55.18787	-55.8771	0.6892261	1.150251	1.150251	1.150251	1.150251	1.150251	1.150251	0.02190109
2100	-54.81603	-55.5868	0.7707714	1.017808	1.017808	1.017808	1.017808	1.017808	1.017808	0.02520521
2110	-55.34208	-54.81702	-0.5250642	1.637942	1.637942	1.637942	1.637942	1.637942	1.637942	0.02773953
2120	-58.76028	-53.59137	-5.16891	3.70282	3.70282	3.70282	3.70282	3.70282	3.70282	0.04482349
2130	-55.00027	-54.69912	-0.3011531	1.473454	1.473454	1.473454	1.473454	1.473454	1.473454	0.03131757
2140	-55.28577	-56.17503	0.8892608	1.074696	1.074696	1.074696	1.074696	1.074696	1.074696	0.02043453
2150	-57.21095	-53.7524	-3.458553	2.643443	2.643443	2.643443	2.643443	2.643443	2.643443	0.06251862
2160	-62.75911	-55.53705	-7.222058	3.891849	3.891849	3.891849	3.891849	3.891849	3.891849	0.2485191
2170	-56.02922	-53.83951	-2.18971	2.242702	2.242702	2.242702	2.242702	2.242702	2.242702	0.04038307
2180	-57.8419	-54.02738	-3.814511	2.709119	2.709119	2.709119	2.709119	2.709119	2.709119	0.07809935
2190	-56.30468	-54.77545	-1.529232	1.755923	1.755923	1.755923	1.755923	1.755923	1.755923	0.05889383
2200	-57.17773	-56.04872	-1.129009	1.491702	1.491702	1.491702	1.491702	1.491702	1.491702	0.06900547
2210	-56.29128	-56.64874	0.3574618	1.41964	1.41964	1.41964	1.41964	1.41964	1.41964	0.01810684
2220	-55.86808	-54.567	-1.301081	1.988818	1.988818	1.988818	1.988818	1.988818	1.988818	0.02848189
2230	-54.96595	-55.99813	1.032176	0.6700073	0.6700073	0.6700073	0.6700073	0.6700073	0.6700073	0.02638245
2240	-58.27128	-55.96539	-2.305885	1.912869	1.912869	1.912869	1.912869	1.912869	1.912869	0.09151718
2250	-55.07442	-55.88623	0.8118095	0.7654134	0.7654134	0.7654134	0.7654134	0.7654134	0.7654134	0.03217471
2260	-55.1835	-54.60299	-0.5805074	1.617097	1.617097	1.617097	1.617097	1.617097	1.617097	0.03064484
2270	-55.15695	-55.369	0.2120441	1.083316	1.083316	1.083316	1.083316	1.083316	1.083316	0.03964757
2280	-55.05521	-56.08746	1.032245	0.6194816	0.6194816	0.6194816	0.6194816	0.6194816	0.6194816	0.02585098
2290	-56.91298	-54.05715	-2.855833	2.665787	2.665787	2.665787	2.665787	2.665787	2.665787	0.03269588
2300	-55.79177	-55.22283	-0.5689402	1.367644	1.367644	1.367644	1.367644	1.367644	1.367644	0.05081433
2310	-55.30669	-55.47319	0.166499	1.080723	1.080723	1.080723	1.080723	1.080723	1.080723	0.04167596
2320	-54.97522	-54.65357	-0.3216499	1.417208	1.417208	1.417208	1.417208	1.417208	1.417208	0.03588686
2330	-59.55865	-57.59966	-1.958991	1.678521	1.678521	1.678521	1.678521	1.678521	1.678521	0.1067593
2340	-55.10782	-55.30702	0.1991961	1.099157	1.099157	1.099157	1.099157	1.099157	1.099157	0.03909655
